Molecular weight of IL  g/mol,Number of rings,Mass of group of rings  g/mol,Number of branches,Mass of first branch g/mol,Mass of second branch g/mol,Mass of third branch  g/mol,Mass of fourth branch  g/mol,Mass of cation  g/mol,Mass of anion  g/mol,Pressure   kPa,Temprature k,Density g/cm^3
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,100.000,293.15,1.216500
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,5000.000,293.15,1.219000
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,10000.000,293.15,1.221100
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,15000.000,293.15,1.223400
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,20000.000,293.15,1.225500
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,100.000,303.15,1.209500
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,5000.000,303.15,1.211900
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,15000.000,303.15,1.216400
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,20000.000,303.15,1.218700
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,100.000,313.15,1.202600
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,5000.000,313.15,1.205100
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,10000.000,313.15,1.207600
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,20000.000,313.15,1.212000
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,100.000,323.15,1.196000
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,5000.000,323.15,1.198500
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,10000.000,323.15,1.200900
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,15000.000,323.15,1.203200
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,100.000,333.15,1.188900
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,5000.000,333.15,1.191400
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,10000.000,333.15,1.193900
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,15000.000,333.15,1.196400
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,20000.000,333.15,1.198800
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,100.000,343.15,1.182000
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,10000.000,343.15,1.187000
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,15000.000,343.15,1.189500
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,20000.000,343.15,1.191900
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,100.000,353.15,1.175400
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,5000.000,353.15,1.177900
223.018799,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,86.804600,15000.000,353.15,1.183300
