,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K",salt_name,"Heat capacity at constant pressure, J/K/mol","Viscosity, Pa&#8226;s"
0,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0365
1,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0341
2,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03429
3,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.032510000000000004
4,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0334
5,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0318
6,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0326
7,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03249
8,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03246
9,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0365
10,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0341
11,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03429
12,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.032510000000000004
13,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0334
14,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0318
15,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0326
16,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03249
17,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03246
18,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0365
19,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0341
20,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03429
21,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.032510000000000004
22,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0334
23,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0318
24,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0326
25,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03249
26,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03246
27,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0365
28,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0341
29,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03429
30,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.032510000000000004
31,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0334
32,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0318
33,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0326
34,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03249
35,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03246
36,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0365
37,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0341
38,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03429
39,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.032510000000000004
40,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0334
41,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0318
42,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0326
43,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03249
44,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03246
45,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0365
46,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0341
47,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03429
48,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.032510000000000004
49,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0334
50,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0318
51,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0326
52,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03249
53,101.325,1518.9,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03246
54,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0365
55,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0341
56,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03429
57,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.032510000000000004
58,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0334
59,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0318
60,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0326
61,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03249
62,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03246
63,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0365
64,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0341
65,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03429
66,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.032510000000000004
67,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0334
68,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0318
69,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0326
70,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03249
71,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03246
72,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0365
73,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0341
74,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03429
75,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.032510000000000004
76,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0334
77,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0318
78,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0326
79,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03249
80,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03246
81,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0365
82,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0341
83,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03429
84,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.032510000000000004
85,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0334
86,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0318
87,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0326
88,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03249
89,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03246
90,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0365
91,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0341
92,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03429
93,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.032510000000000004
94,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0334
95,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0318
96,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0326
97,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03249
98,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03246
99,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0365
100,101.325,1518.74,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0341
