,anion,anion_smiles,cation,cation_smiles
0,ethylsulfate,CCOS(=O)(=O)[O-],"1,2-diethylpyridinium",CC[n+]1ccccc1(CC)
1,dimethylphosphate,COP(=O)([O-])OC,"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
2,methylsulfate,COS(=O)(=O)[O-],"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
3,chloride,[Cl-],1-benzyl-3-methyl-1H-imidazolium,C[NH+]1CN(C=C1)CC2=CC=CC=C2
4,bis(trifluoromethanesulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-1-methylpiperidinium,CCCC[N+]1(CCCCC1)C
5,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
6,dicyanamide,C(#N)[N-]C#N,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
7,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
8,tetrafluoroborate,[B-](F)(F)(F)F,1-butyl-2-methylpyridinium,CCCC[n+]1ccc(cc1)C
9,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-cyanopyridinium,CCCC[n+]1cccc(c1)C#N
10,acetate,CC(=O)[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
11,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
12,bromide,[Br-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
13,chloride,[Cl-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
14,dicyanamide,C(#N)[N-]C#N,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
15,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
16,iodide,[I-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
17,nitrate,[N+](=O)([O-])[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
18,phenolate,C1=CC=C(C=C1)[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
19,tetrafluoroborate,[B-](F)(F)(F)F,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
