,anion,anion_smiles,cation,cation_smiles
0,L-alaninate,C[C@@H](C(=O)[O-])N,(3-aminopropyl)tributylphosphonium,[P+](CCCC)(CCCC)(CCCC)CCCN
1,L-leucinate,CC(C)C[C@@H](C(=O)[O-])N,(3-aminopropyl)tributylphosphonium,[P+](CCCC)(CCCC)(CCCC)CCCN
2,L-valinate,CC(C)[C@@H](C(=O)[O-])N,(3-aminopropyl)tributylphosphonium,[P+](CCCC)(CCCC)(CCCC)CCCN
3,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,(3-carboxypropyl)trimethylammonium,C[N+](C)(C)CCCC(=O)O
4,4-nitropyrazolide,c1c(cn[n-]1)[N+](=O)[O-],(buten-1-yl)triethylphosphonium,[P+](CC)(CC)(CC)CCCC
5,"1,2,3-triazolide",c1cnn[n-]1,(ethoxymethyl)triethylphosphonium,[P+](CC)(CC)(CC)COCC
6,imidazol-1-ide,c1cnc[n-]1,"1,1,3,3-tetramethylguanidinium",CN(C)C(=[N+](C)C)N
7,lactate,CC(C(=O)[O-])O,"1,1,3,3-tetramethylguanidinium",CN(C)C(=[N+](C)C)N
8,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],"1,1,3,3-tetramethylguanidinium",CN(C)C(=[N+](C)C)N
10,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,2-diethylpyridin-1-ium",CC[n+]1ccccc1CC
11,ethylsulfate,CCOS(=O)(=O)[O-],"1,2-diethylpyridinium",CC[n+]1ccccc1(CC)
12,4-nitropyrazolide,c1c(cn[n-]1)[N+](=O)[O-],"1,2-dimethyl-3-propylimidazolium",CCCn1cc[n+](c1C)C
13,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium",CCCn1cc[n+](c1C)C
14,tetrafluoroborate,[B-](F)(F)(F)F,"1,2-dimethyl-3-propylimidazolium",CCCn1cc[n+](c1C)C
15,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-dibutyl-1H-imidazolium",C1=C[N+](CCC)=CN1CCC
16,methanesulfonate,CS(=O)(=O)[O-],"1,3-dibutyl-1H-imidazolium",C1=C[N+](CCC)=CN1CCC
18,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-didecyl-1H-imidazol-3-ium",CCCCCCCCCCn1cc[n+](c1)CCCCCCCCCC
19,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-didodecylimidazolium",CCCCCCCCCCCCn1cc[n+](c1)CCCCCCCCCCCC
20,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-diethylimidazolium",c1c[n+](cn1CC)CC
21,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-diheptyl-1H-imidazol-3-ium",C1=C[N+](CCCCCCC)=CN1CCCCCCC
22,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-dihexyl-1H-imidazol-3-ium",C1=C[N+](CCCCCC)=CN1CCCCCC
26,acetate,CC(=O)[O-],"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
27,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
28,dimethylphosphate,COP(=O)([O-])OC,"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
29,methylsulfate,COS(=O)(=O)[O-],"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
30,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-dinonyl-1H-imidazol-3-ium",c1c[n+](cn1CCCCCCCCC)CCCCCCCCC
31,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-dioctyl-1H-imidazol-3-ium",C1=C[N+](CCCCCCCC)=CN1CCCCCCCC
32,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-dipentyl-1H-imidazol-3-ium",C1=C[N+](CCCCC)=CN1CCCCC
33,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,3-dipropyl-1H-imidazol-3-ium",c1c[n+](cn1CCC)CCC
35,chloride,[Cl-],1-(2-(2-methoxyethoxy)ethyl)-3-methylimidazolium,[N+](CCOCCOC)1=C(N(C)C(=C1))
