,anion,anion_smiles,cation,cation_smiles
0,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,2-diethylpyridin-1-ium",CC[n+]1ccccc1CC
1,ethylsulfate,CCOS(=O)(=O)[O-],"1,2-diethylpyridinium",CC[n+]1ccccc1(CC)
2,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium",CCCn1cc[n+](c1C)C
3,dimethylphosphate,COP(=O)([O-])OC,"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
4,methylsulfate,COS(=O)(=O)[O-],"1,3-dimethylimidazolium",Cn1cc[n+](c1)C
6,cyanocyanamide,C(#N)[N-]C#N,1-(3-cyanopropyl)-3-methylimidazolium,N#CCCCn1cc[n+](c1)C
8,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-benzyl-3-butylimidazolium,CCCC[n+]1ccn(c1)Cc2ccccc2
9,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-benzyl-3-methyl-1H-imidazol-3-ium,CN1C=C[N+](=C1)CC2=CC=CC=C2
10,chloride,[Cl-],1-benzyl-3-methyl-1H-imidazolium,C[NH+]1CN(C=C1)CC2=CC=CC=C2
14,bis(trifluoromethanesulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-1-methylpiperidinium,CCCC[N+]1(CCCCC1)C
15,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
16,dicyanamide,C(#N)[N-]C#N,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
17,tetracyanoborate,N#C[B-](C#N)(C#N)C#N,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
18,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
19,tris(pentafluoroethyl)trifluorophosphate,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
20,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-1H-benzimidazolium,CCCC[N+]1=CN(C2=CC=CC=C21)
21,hexafluorophosphate,F[P-](F)(F)(F)(F)F,"1-butyl-2,3-dimethylimidazolium",CCCCn1cc[n+](c1C)C
22,tetrafluoroborate,[B-](F)(F)(F)F,"1-butyl-2,3-dimethylimidazolium",CCCCn1cc[n+](c1C)C
23,tetrafluoroborate,[B-](F)(F)(F)F,1-butyl-2-methylpyridinium,CCCC[n+]1ccc(cc1)C
24,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-2-phenylimidazolium,CCCC[N+]1=C(NC=C1)C2=CC=CC=C2
25,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-cyanopyridinium,CCCC[n+]1cccc(c1)C#N
26,acetate,CC(=O)[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
28,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
29,bromide,[Br-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
30,chloride,[Cl-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
31,dicyanamide,C(#N)[N-]C#N,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
32,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
33,iodide,[I-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
34,nitrate,[N+](=O)([O-])[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
35,phenolate,C1=CC=C(C=C1)[O-],1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
